rank,city,country,dating,lgbt-nightlife,openness-in-the-city,safety,lgbt-rights,total,filter_order
1,Madrid,Spain,4.63,4.87,4.87,4.19,5,23.56,1
2,Amsterdam,Netherlands,4.81,4.66,4.72,4.07,5,23.26,2
3,Toronto,Canada,4.6,4.57,4.78,3.74,5,22.69,3
4,Tel Aviv,Israel,4.72,4.81,4.81,4.23,4,22.57,4
5,London,UK,4.94,4.97,4.94,2.61,5,22.46,5
6,Berlin,Germany,4.97,5,4.97,3.95,3,21.89,6
7,Brighton,UK,4.15,4.45,4.66,3.54,5,21.8,7
8,Barcelona,Spain,4.84,4.78,4.75,2.41,5,21.78,8
9,New York City,USA,5,4.94,4.91,2.85,4,21.7,9
10,San Francisco,USA,4.75,4.84,5,3.02,4,21.61,10
11,Paris,France,4.91,4.72,4.45,2.49,5,21.57,11
12,Montreal,Canada,4.42,4.39,4.6,3.1,5,21.51,12
13,Manchester,UK,4.54,4.6,4.54,2.65,5,21.33,13
14,Melbourne,Australia,4.78,4.91,4.84,3.78,3,21.31,14
15,Lisbon,Portugal,4.51,3.94,3.78,3.99,5,21.22,15
16,Vienna,Austria,3.81,4.12,4.3,4.71,4,20.94,16
17,Vancouver,Canada,4.09,4.09,4.09,3.58,5,20.85,17
18,Sitges,Spain,3.21,3.66,4.57,4.35,5,20.79,18
19,Copenhagen,Denmark,3.69,3.78,4.69,3.62,5,20.78,19
20,Bristol,UK,3.6,4.24,4.24,3.66,5,20.74,20
21,Cologne,Germany,4.69,4.63,4.63,3.7,3,20.65,21
22,Ibiza Town,Spain,3.06,3.72,3.69,4.87,5,20.34,22
23,Maspalomas,Spain,2.97,3.54,4.27,4.51,5,20.29,23
24,Austin,USA,4.03,3.97,3.84,4.15,4,19.99,24
25,Munich,Germany,3.87,4.06,4,5,3,19.93,25
26,Dublin,Ireland,4.36,4.36,4.06,1.8,5,19.58,26
27,Miami,USA,4.66,4.51,4.51,1.72,4,19.4,27
28,Mykonos,Greece,3.78,4.18,4.42,4.96,2,19.34,28
29,Edinburgh,UK,3.09,3.57,3.27,4.4,5,19.33,29
30,Stockholm,Sweden,4.21,3.48,4.18,2.45,5,19.32,30
31,Helsinki,Finland,3.24,3.42,3.87,4.67,4,19.2,31
32,Sydney,Australia,4.45,4.3,4.33,3.06,3,19.14,32
33,Valencia,Spain,3.33,2.54,3.94,4.27,5,19.08,33
34,Glasgow,UK,3.57,3.81,4.39,2.17,5,18.94,34
35,Sao Paulo,Brazil,4.57,4.75,4.36,1.12,4,18.8,35
36,Portland,USA,3.75,4.03,4.48,2.53,4,18.79,36
37,Puerto Vallarta,Mexico,4.06,4.15,3.75,3.82,3,18.78,37
38,Reykjavik,Iceland,2.78,2.75,3.54,4.59,5,18.66,38
39,Leeds,UK,3.45,3.9,3.45,2.77,5,18.57,39
40,Los Angeles,USA,4.87,3.75,4.12,1.6,4,18.34,40
41,Rio de Janeiro,Brazil,4.48,4.69,3.97,1.08,4,18.22,41
42,Lyon,France,3.63,2.84,3.42,3.3,5,18.19,42
43,Buenos Aires,Argentina,4.39,4.48,3.9,1.36,4,18.13,43
44,Dusseldorf,Germany,3.84,3.45,3.39,4.43,3,18.11,44
45,Chicago,USA,4.3,4.27,4.15,1.28,4,18,45
46,Auckland,New Zealand,3.72,3.39,3.48,2.37,5,17.96,46
47,Frankfurt,Germany,3.9,4,3.66,3.26,3,17.82,47
48,Hamburg,Germany,4.33,4.33,4.03,2.09,3,17.78,48
49,Prague,Czech Republic,4.24,3.84,3.33,4.31,2,17.72,49
50,Calgary,Canada,2.57,2.27,3.72,4.03,5,17.59,50
51,Liverpool,UK,2.69,3.3,3.24,3.34,5,17.57,51
52,Boston,USA,4.12,3.33,2.9,3.18,4,17.53,52
53,Birmingham,UK,2.87,3.87,3.81,1.92,5,17.47,53
54,Brussels,Belgium,3.94,4.44,3.15,1.68,4,17.21,54
55,Seattle,USA,3.39,3.24,3.3,3.22,4,17.15,55
56,Cork,Ireland,2,2.06,2.78,4.75,5,16.59,56
57,Nuremberg,Germany,3.3,2.81,2.97,4.47,3,16.55,57
58,Las Vegas,USA,3.97,3.36,3.63,1.52,4,16.48,58
59,Bordeaux,France,3.15,2.6,2.81,2.89,5,16.45,59
60,Oslo,Norway,2.6,2.57,4.21,2.01,5,16.39,60
61,Bangkok,Thailand,4.27,4.42,3.57,2.05,2,16.31,61
62,Mexico City,Mexico,4.18,4.21,3.6,1.24,3,16.23,62
63,Rotterdam,Netherlands,2.75,2.51,3.36,2.57,5,16.19,63
64,Cardiff,UK,2.28,2.72,2.93,3.14,5,16.07,64
65,Brisbane,Australia,3.42,2.93,3.21,3.5,3,16.06,65
66,Lille,France,2.9,2.69,2.69,2.73,5,16.01,66
67,Adelaide,Australia,3.51,2.9,2.6,3.86,3,15.87,67
68,Bogota,Colombia,3.18,3.63,2.63,1.32,5,15.76,68
69,Leipzig,Germany,3.03,3.69,3.03,2.98,3,15.73,69
70,Tokyo,Japan,2.42,3.27,3.12,4.83,2,15.64,70
71,Tallinn,Estonia,2.22,2.3,2.45,4.63,4,15.6,71
72,Gothenburg,Sweden,2.66,2.42,3.18,2.33,5,15.59,72
73,Antwerp,Belgium,2.3,3.03,3.51,2.69,4,15.53,73
74,San Juan,Puerto Rico,4,2.87,2.3,1.2,5,15.37,74
75,Bergen,Norway,2.12,2.09,2.72,3.42,5,15.35,75
